Timestamp,Your major:,Are you an international student?,Your living arrangement during this pandemic,Does your living arrangement during this pandemic make it difficult for you to take the most out of online instruction?,How motivated are you about learning after this pandemic?,How well are you able to interact with your classmates about school work through zoom after this pandemic?,How well are you able to interact with your instructors through zoom after this pandemic?,"Describe your sense of belonging to UCLA after this pandemic. This could include ability to cope with challenges, feeling relaxed, not feeling excluded, interaction with diverse students and faculty, etc.",What are the concerns that you have after this pandemic?,In what way if any has this pandemic affected your anxiety about success in academics?,Describe if zoom has helped to lower the effect of social distancing on your academic and social life?,In what way if any has this pandemic affected your philosophy of life and what you consider to be the most important?,"We all talk about the negative effects of this pandemic, please share any positive affect this pandemic has had on you?"
2020/04/19 5:45:55 PM MDT,STEM,Yes,In my apartment,No,Equally motivated,1,2,I feel it's the same as study on campus. ,I worried that that the pandemic grow too fastï_Œbut people didnâ€˜t pay that much attention on it.,nothing,zoom helps a lot actually,nothing,The pandemic force us to quarantineï_Œwhich let us create a self-management ability
2020/04/19 5:51:47 PM MDT,STEM,No,In my apartment,No,Equally motivated,2,1,,,,,,
2020/04/19 5:54:39 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,"I was supposed to graduate this quarter, however not physically being on campus makes it feel as though I have already graduated/my college career has already ended. However, it doesn't bring about feelings of closure or accomplishment. ","Obviously health, safety, economic and social justice concerns. Also worried and protective of my mom/family who are Asian given the recent spike of hate crimes and assault against Asians because of COVID-19.",Negatively! I feel much less organized which increases my anxiety. I miss assignments and required things much more often and constantly hearing about COVID-19 and its consequences(of which are important to know) is very mentally draining. ,"The way I engage in friendship does not always involve talking; I enjoy spending time with people, exploring new places and trying new foods. I feel as though the limited way to express and engage in friendship has made it hard for me to engage with my friends. ","I have always believe that the way we live our lives should be conscious of ourselves and our communities. Unfortunately, I have seen that in this stressful time, many act selfishly and follow an agenda that it egocentric. This pandemic just strengthened my philosophy of life of caring and being kind to everyone. It is incredibly important to be aware of our world and how to impacts everyone differently. ",I get to spend more time with my family and pets at home. The one significant downside of my undergraduate experience was being far from family so being with them is a positive!
2020/04/19 6:00:31 PM MDT,STEM,No,In my apartment,Yes,Less motivated than before?,1,2,,Unemployment and financially struggling. Homelessness.,Canâ€™t really focus/find motivation to study when the world seems to be crumbling,Yes. I havenâ€™t left my apartment complex in weeks.,,A lot of self-reflection and not seeking any exterior motivation to push on 
2020/04/19 6:21:33 PM MDT,STEM,No,In my apartment,No,Less motivated than before?,1,1,"feels like I can't really enjoy UCLA to its fullest,  just feel like all i have to do is learn/study with feeling more excluded",job searching,I am more distracted during online instruction,"yes! zoom is great to catch up with friends as needed, but again there's limitations and there is no 'activity' you can do together in person.","due to the pandemic, a lot of plans i had for senior year (graduation, trips, job searching) is canceled! i planned to have a lot more time for friends this quarter since everyone was quite busy for the last two quarters. And the pandemic has made me think a lot about not pushing plans off till later, if i can do them in the moment because there really is no guarantee the situation will stay the same! it has also brought me to think about the importance of slowing-down, and really taking the time to invest time into myself as much as others.","learning how to spend time with myself, w/o relying on technology+friends! more appreciation for nature! "
2020/04/19 6:22:26 PM MDT,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,Not seeing my fellow professors/TAs and students face to face makes it difficult to care about my academics as much as I wouldâ€™ve otherwise. ,"Iâ€™m concerned that life is never going to go back to normal. Iâ€™m scared that when I think of my 4 year life at UCLA, instead of thinking about all the amazing opportunities that came my way, Iâ€™m instead going to think about this quarter that has left me miserable missing every aspect of UCLA. Iâ€™m however of course grateful that I am able to stay safe throughout all this. ","This pandemic has definitely left more more anxious than before. My parents donâ€™t really understand my diagnosis with anxiety, and Iâ€™m ever since Iâ€™ve been home I havenâ€™t been living in an environment that makes it easy to cope with my anxiety and covid while juggling a full course load. Iâ€™m thankful to have understanding professors, but the situation is always going to make matters worse. Iâ€™m still trying my best no matter what to not let anything get in the way of my academic career, especially with 141 because Iâ€™m super excited to work on a project that relates to everything going on in real time. ","Zoom has made it possible to keep in contact with everyone, which is better than nothing. ",,The love and respect everyone has developed for front-line workers warms my heart. Weâ€™re all truly coming together to make the best of this situation and that feels very empowering. 
2020/04/19 6:25:01 PM MDT,STEM,No,At home in californa,Yes,Equally motivated,2,1,,,,,,
2020/04/19 6:34:49 PM MDT,STEM,No,In my apartment,No,Less motivated than before?,2,1,Certainly feel very socially disconnected from everyone. It makes it very hard to feel like the whole system is running properly when I can only see from my perspective now.,My concerns for after the pandemic is how we will recover economically and whether or not I'll be able to find a job in the current job market.,"Since I'm lazier and less motivated, I'm more stressed because I feel like I have to dedicate more time and more effort to stay on top of classes than I normally would.",Not really as zoom still feels very distanced.,Patience: We gotta wait out the pandemic.,I have time to catch up on my video game backlog :)
2020/04/19 6:48:17 PM MDT,STEM,No,In dorms,No,Equally motivated,2,1,"I'm in a good place right now, as I have created an environment for myself that will allow me to be successful and feel a part of the UCLA community.","I wonder if school will be held virtually in the future or not, and if I should get housing here or just stay at home in the fall.",Not in any way. I am going about learning in a similar way.,It absolutely has. I am staying inside a lot more now.,"I still have the same views, I just hope that others could hold the same value of human life that I have instead of acting selfishly. ","I have been able to spend a lot more time on my own, which has been relaxing in a way. As a result, I feel more focused."
2020/04/19 8:00:54 PM MDT,STEM,Yes,In my apartment,No,Less motivated than before?,2,2,Same as before,Slower to get academic requests approved. Afraid that can't graduate on time.,Harder to stay focus and interact with faculty,Yes,Health is the most important thing,Can focus on oneself and take some time to contemplate and adjust oneself
2020/04/19 8:07:20 PM MDT,STEM,Yes,In my apartment,No,Less motivated than before?,2,1,less chance to talk with friends ,"as an international student, I am afraid that if I go back to my home country, I might not come back because of the travel ban",staying at home makes me less motivated to study and take new academic challenge,"yes in academic life, but not in social life",the most important is to be alive,less (zero) time spent on commute
2020/04/19 8:35:30 PM MDT,STEM,Yes,In my apartment,No,Less motivated than before?,2,1,My sense of belonging to UCLA has increased because I have a sense that we are all going through tough times together.,I was hoping to apply for jobs in May but I'm concerned about the hiring prospects.,"Staying in my small apartment alone all the time is somewhat mentally exhausting. I definitely feel less motivated about many things, including academics. I try to cling on and do well though.",Not very much because of technical difficulties.,,"I have more time for myself in my little studio apartment. It helped force me to face the parts of me that I pretended weren't there. I've also been getting phone calls from people I knew a while back, which was pleasant. "
2020/04/19 8:59:51 PM MDT,STEM,Yes,In my apartment,No,Less motivated than before?,2,2,,,,,,
2020/04/19 9:21:15 PM MDT,STEM,Yes,Outside US,Yes,Less motivated than before?,2,1,,"Not able to attend lecture, sometimes couldnâ€™t receive the lastest info about class or homework",I always worried if Iâ€™ll miss any deadlines ,Yes sometimes we use zoom to have group meeting ,Make people be more anxious,Be able to stay with family longer
2020/04/19 9:26:29 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,I feel like we do miss that sense of community that you get from being on campus where you get to see your fellow classmates everyday.,I worry that the pandemic will come in waves and that this will be our new normal for the next year or more.,"This pandemic has increased my school anxiety because it is more difficult to collaborate with fellow students, and it is harder to communicate with TA's and professors. ",It has because I at least get to see and talk to people at normal class times a bit more.,I think the pandemic has just reinforced that health is everything,I think that the pandemic has prompted me to talk to friends and family perhaps more frequently than I would have before.
2020/04/19 10:33:18 PM MDT,Non-STEM,Yes,In my apartment,No,Less motivated than before?,1,2,"All of the interactions need to be done online, that's really easier for me actually, I don't have to walk a long way and deal with things only for 5min.",Can I go to the graduate school or should I defer 1 year,easily affected by noise or roommates,"yes, zoom is functional",be careful of people's spit,"save time for dressing up and going to school, sleep more"
2020/04/19 10:33:37 PM MDT,STEM,Yes,In my apartment,No,Less motivated than before?,2,2,,"Graduation ceremony, and arrangements after graduation ",,Zoom is a good tool for group chat but I would prefer face to face to talk about the project ,,"Online classes make my time more flexible and itâ€™s possible to have two classes at the same time, and I donâ€™t have to waste my  time on the road."
2020/04/19 10:34:45 PM MDT,STEM,Yes,In my apartment,No,Equally motivated,2,2,Feeling relaxed,"Maybe not sure after graduate, I should still stay in US or back to my country",Maybe is sometimes cant keep focus in class which may miss some point of material.,"Yes,since some professor could record the class which can help me review if i missing something,also some teacher has give more office hour on zoom which are helpful.",Has less contact with my friend,"I can cook at home,get more communication with roommates"
2020/04/19 10:40:40 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,2,1,I feel like this has definitely decreased a feeling of belonging at UCLA because activities we were planning to do that tied us to the campus are no longer happening. ,I am concerned about the job market after this pandemic.  ,As my time as a student is coming to a close and my class schedule is very light I feel lucky at this time because I know I can be successful in my academics. I have friends with high workloads and their most difficult classes this quarter who are not so lucky. ,It has helped to lower the effects but has not eliminated them. ,There are certain activities that I used to take for granted that I will now look at with a different light. Spending time with family and friends etc. ,I have been able to spend time with my family at home that I would not have otherwise. 
2020/04/19 10:48:17 PM MDT,STEM,No,In my apartment,No,Less motivated than before?,2,2,Feels disconnected,Grades and health,Increased my stress,Not completely,Not much,More rest
2020/04/19 10:52:47 PM MDT,STEM,No,At home in californa,No,Equally motivated,2,1,"Sense of belonging has decreased. I am much farther away from my friends, peers, and faculty, which feels like these useful resources are not that accessible anymore. Being able to interact with peers was a central part of the learning experience and now I feel like I am very far from them.","General health safety, will I be able to get a job and make a stable living for myself after my college career?","Anxiety has somewhat increased. I valued in-person learning and learning STEM material in an online format has been more difficult. I know faculty has had a short period of time to adjust but I just don't think I've mastered the material very well and with the fast pace of the quarter system, it's been hard to be on track.","I don't use Zoom for my social life, so I'd say it has not helped. Zoom has helped academically in that lectures can be recorded and posted at the instructor's will, which is extremely helpful for many other people unable to attend, but many of my classes still encounter technical issues that negatively affect the learning environment.","Not really, just to remind myself of the lucky qualities I have in life and not take it for granted. Keeping in touch with family and friends is heartwarming and comforting.",More time to spend with family.
2020/04/19 11:04:12 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,,,,,,
2020/04/19 11:22:34 PM MDT,STEM,No,In US but outside CA,No,More motivated,2,2,"I feel a mix of things being lost and things being gained as a result of moving to online classes. Although I have lost person-to-person contact, going to both sports and club events, and meeting up with friends, I have gained a lot from having more direct access to professors, TAs, classmates, and friends as a result of everyone being home and online. My stress levels have gotten significantly lower over the last few weeks, I can cope with the difficulties of being home, and I interact more with faculty now than I ever did before.","My biggest concern would definitely be the fallout and consequences of both the good and the bad (or the right and the wrong) actions taken in response to the virus (such as shutting down the economy, enforcing stay-at-home order for an extensive time period, opening states back up, etc.). There's so much uncertainty and confusion out there, so there is a lot to be fearful of over the coming months and maybe even years.","My classes in many ways have become easier, both in terms of grading criteria and in terms of accessibility to materials, office hours, and other resources. I feel I am in a better position to succeed now than I was before, so I am not as anxious about academic success.","I would say the idea of video-chatting and technology itself contributed greatly in lowering the effect of social distancing. Learning has been left unchanged and even improved in my opinion, and I can easily call and hang out with friends virtually almost at any time.","Self-care has definitely become more of a focus for me, as well as reading up on what's happening in the world and becoming more informed. It is difficult to see how much of an impact it will have down the road, but maybe I'll continue to be more physically active and maybe become more socially and politically active in the future.","I'll refer to the above answers for most of the positives, but I'll also add that being in the comfort of by home and surrounded by family has been a blessing in its own right, and I am incredibly thankful to be in a position where not only am I able to be with them, but they can still work and care for me and themselves during this crisis. "
2020/04/19 11:49:06 PM MDT,STEM,No,In my apartment,No,Less motivated than before?,2,2,"I have felt less a part of UCLA during the pandemic, but I have also seen tremendous effort by student clubs and other organizations to make virtual events for people to still interact. I don't feel as a part of UCLA because I am not interacting in the classroom environment, like being physically in the same room as the instructor and other students. I have especially felt this about office hours, because I can't just sit next to my instuctor and ask them questions about the material. There is a big difference between in-person and virtual interaction. Not interacting with more people a day makes it more difficult for me to get out of my own head sometimes. Many organizations, though, have made effrots to create virtual events for people to feel a sense of belonging during this time. For example, I am a part of Stats Club executive board and we are still hosting events fro studnets to interact with eachother and faculty virutally. I think that has been meaningful and helpful to many. ALso, it is nice, however, not having to run around campus all day and lug everything that I need for the day on my back. ","Worry about the job market, especially since I am graduating and about to enter the job market. ",,"Zoom, among other video-communication platforms, have helped with lowering the effect of social distancing. Phone calls are still great too for keeping in touch with academic and social life. ","I have been checking in with my family, such as my parents and grandparents, more often because the pandemic has been a reality check about what is important in life. Yes, I want to do well in school, but I don't want to put school at such a high priority that everything else in life slips away while I'm in the pursuit of a university degree. I consider family and health much more important now. I used to call my grandparents once every 2-3 months, but I have been calling about once every 2 weeks. I think this is a really nice change and it's one I've been wanting to make for a while even before the pandemic started. It's nice both for me and for my grandparents - they enjoy it as well. Moreover, the pandemic has forced me to think about how I always have a go-go-go attitude and that slowing down a bit might actually be good for my personal health. Since all of the events were forced to not occur anymore, there are limited options of what to do and, in turn, my life has slowed down a bit. I sleep more hours every night, I eat more full means, and I spend more time relaxing & reflecting on my own life. This seems to actually be really good for my life, especially sleeping more. I will try to prioritize these things more even after the pandemic is over","(detailed in previous answer) sleeping more, eating on a more regular schedule, talking to my family more, taking the free time to learn a lot about my personal fiances and what I should know to be financially responsible going into my first job, more introspection, etc."
2020/04/19 11:57:03 PM MDT,STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,"Slightly less sense of belonging. Little to no interaction with campus except friends, not able to utilize any of UCLA's resources or just walk around campus. Much harder to be motivated sitting at home through video lectures than when I'm at school.",That we won't learn from this and will continue to make the same mistakes that led us here. See: people in Michigan and elsewhere protesting stay-at-home notices.,Has not. I know this is a unique situation and I won't have to deal with learning like this for much longer.,"It has slightly, I can zoom my friends. However I had to move back unexpectedly and abruptly and won't see my UCLA friends for quite a long time. I wouldn't say zoom has lowered the effect of social distancing on my academic life. Whether I watch a pre-recorded lecture or attend a live zoom one is irrelevant to me. In fact I almost prefer just watching a recording at a time of my choice instead of having to attend live lectures.","It really hasn't. Most of things I considered important I still consider in this time, I didn't need the pandemic to show me that in-person teaching, socializing, physical friendships, family, etc. are all important.","None, sorry."
2020/04/20 12:17:40 AM MDT,STEM,Yes,In my apartment,No,Less motivated than before?,1,1,,,,,,
2020/04/20 12:37:48 AM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,"Job search, especially with everything being done virtually and high unemployment rate. I'm not really sure how I will secure a job in this state.",,,,
2020/04/20 12:56:47 AM MDT,STEM,No,In my apartment,Yes,Less motivated than before?,2,1,"The biggest sense of exclusion is graduation. As seniors, we are looking forward to the culmination of our hard work. And unfortunately we have loss that, and even loss then sense of interacting with those in the same situation. We have hard split from our classmates, classmates who have become friends and family.","How will everthing settle back to normal, or is this the new normal, and for how long?",Not in any major ways. ,"Yes it has, i havent been able to go outside to see many of my classmates, so its always nice to see fellow peers in my zoom classes. ","I defintely have arranged my priorities in life, the things i care for I try to value more and make sure they are aware of that(if it is a person). But the biggest impact has been in my spiritual life. I have realized there is so much to grow in that aspect, and now I need to take advantage of this quarantine to better that.  ","A positve effect in my life has been me appreaciating my family time even more. the little I may have to spend with them, should be cherished. "
2020/04/20 2:11:35 AM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,"Because our physical body is not on campus, it is undoubtedly true that I feel a bit excluded from the UCLA community.","Some concerns include finding a job (a bit personal, but my job offer got cancelled due to coronavirus) and graduation issue (possibility of traditional graduation ceremony in future).",The pandemic brought me anxiety that it will make me more difficult to find a job.,Yes.,This pandemic has taught me to be grateful of what you have around you.,Positive thing: spending more time with my parents!!
2020/04/20 8:32:55 AM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,"I don't feel as if I belong as much because I no longer see my professors and fellow peers. I used to be able to meet new people in discussions and lectures, but now that it is online, it is harder because no one turns their video on or talks.","I'm going to be broke because I still have to pay rent in LA even though I am not living there, and there is no decreased rent. I'm also worried about my mental health because isolation is so much lonelier than living at UCLA where I can interact with so many people.","It has increased it. Now that I have so much time on my hands, when I am not working or studying, I feel guilty that I am not doing enough to get the grade I want.","With zoom, I don't have to attend class, so I never see anyone in person anymore.",I'm so thankful that my family and friends are healthy and still have jobs. I feel for the people who are now unemployed. It has made me appreciate what I have a lot more.,I spend more time with my family.
2020/04/20 12:09:31 PM MDT,STEM,No,In my apartment,No,Equally motivated,1,1,"Since I am still living in my apartment, I do not think that my sense of belonging has changed.",I am concerned with how this pandemic will affect my start date for my post-grad job. ,It hasn't affected my anxiety,"Yes, I watch alone.",I am affected since I cannot see all my friends anymore,I have had some extra time to exercise and learn how to cook!
2020/04/20 12:19:17 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,Not feeling very attached,"Normal learning, jobs, social interaction",Hard to stay motivated,Helped,Realize the importance of people,Get closer to family
2020/04/20 12:20:00 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,,,,,
2020/04/20 12:27:17 PM MDT,STEM,No,In my apartment,Yes,Equally motivated,2,1,I don't feel like my sense of belonging has changed at all due to the pandemic.,I don't like the uncertainty around everything and how we don't know when things will open back up. I am worried we will go through multiple lockdown then open cycles because we open up too early.,I am worried this pandemic will affect my ability to get a job/get in a graduate program.,"Zoom has helped me stay connected to my friends, family, and classmates.",This pandemic has made me more appreciative of basic freedoms like going out when I want and hanging out with friends.,Gives me time to focus on schoolwork because there is not much else to do. I feel like although I am slightly more stressed I do get more sleep because I don't have to wake up extra early to walk to class.
2020/04/20 12:29:33 PM MDT,STEM,No,In my apartment,No,Less motivated than before?,2,2,"I feel disconnected, as if I am a part of ZOOM university which UCLA students attend, rather than actually feeling like I am taking UCLA classes. The feeling of being on campus and having all the resources and interactions on campus are missed, which makes the whole thing difficult.",Getting back to normalcy,"Personally I feel like professors are more lenient on students, keeping in mind of what everyone is going through. I am more anxious about motivation to do work than anything.","Zoom has helped a lot, especially if u treat it like facetime or using it to gather a large group of people together that u couldnt in real life",Contacting old friends and loved ones consistently has made me realize what kind of people really matter in my life,"Gotten me to specialize in things i do not usually do, like talk to old friends or play games inside the apartment, finding new ways to exercise or socialize from a distance that I wouldnt have done initially"
2020/04/20 12:30:52 PM MDT,STEM,No,At home in californa,Yes,More motivated,2,1,"My challenges have changed: while I don't pay rent anymore because I live with my parents now, the place we live in is very small (only 1 room and 6 family members), and so having ""quiet time"" and a place to focus/study/do work is very challenging. I wouldn't say I feel more or less excluded/included, but I do feel slightly ""cheated out"" of my senior year because, this being my last quarter, I was going to try to find a way to enjoy it more, but now we aren't even on campus. What felt ""lessening"" was when Gene Block said [graduation] doesn't define the journey, while in reality, for many first-generation students, that couldn't be further from the truth. One way I still feel included, aside from everyone trying to make the best out of this situation, is that I am able to work remotely and was allowed to keep my job from school.","My concerns: will I be able to get a job after graduation? How can I assure myself and my family that, after this pandemic is over (hopefully), it won't start over again, or that another outbreak isn't on its way.","I am concerned that, after all these years of school and stresses I've had, I won't be able to find a job because a lot of places aren't even accepting/looking at applications anymore.",Zoom has allowed me to connect with professors and classmates while still maintaining the social distancing order.,"Without good health, one is nothing. Good health allows one to spend time with family and gives oneself the opportunity to take care of themselves. At the end of the day, it's not about going out and spending money to have a good time, it's about being healthy and having those who one cares about be healthy as well.",I am able to help my mom exercise and lower her blood pressure. I am able to help my little brother in his homework. My parents can rely on me to help out with documents/my siblings' homework/support as they can't rely on my other siblings because they are younger.
2020/04/20 1:15:19 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,2,1,It doesn't feel like I'm at school. I don't go anywhere and I don't see anyone else at school. It is very weird and it just feels like online is not even close to the education as on-campus.,"I am worried about how I am going to start my job as I was supposed to move across the country after graduation. Also, I worry if this recession and crisis will have everlasting effects on my potential career growth.","My anxiety has increased more, but mainly due to the lack of structure in my life now and the lack of motivation.","Zoom and video conferencing has helped me contact others during this time, though it not as good as in person contact or in person class sessions.",It really hasn't affected my philosophy of life. It has only confirmed that there are a lot of unintelligent people in the world and that the internet should be converted to a necessary utility.,"It has let me see my family more often, especially my sister who was also away at a different college."
2020/04/20 3:07:28 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,It's hard: I haven't seen ,"I think logistic-wise, meeting for everyone is going to be difficult. We have one group member who isn't available for any class times because she is in another time zone, so coordinating meetings will be tough.",It's really hard staring at a laptop screen for every day of the week during class time...,I think it's definitely helped for avoiding larger lectures to prevent large congregating bodies.,Everything happens for a reason!,More family time :)
2020/04/20 3:50:40 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,,,,,
2020/04/20 10:36:12 PM MDT,STEM,Yes,In my apartment,No,Equally motivated,2,1,,,,,,
2020/04/20 10:42:30 PM MDT,STEM,Yes,In my apartment,No,Less motivated than before?,2,1,"I donâ€™t feel like Iâ€™m part of a community anymore because we canâ€™t host group activities for clubs or meet up for group projects, which make collaboration harder",Job opportunities,,It is hard to have separate group discussions in a Zoom setting. Networking is also more difficult as only one person can be talking at a time. ,,More time to work on some resolutions I have for the year since I canâ€™t go to work
2020/04/20 10:45:59 PM MDT,STEM,No,At home in californa,Yes,Equally motivated,2,2,"I feel like I will have to cope with challenges since the president has placed a stigma on Asian Americans, specifically Chinese people. I feel like I will be excluded on campus since people may be afraid to come near me, even thought I am not Chinese. ",I am concerned about my safety because some people are coping with the situation through physical mean; e.g. physically attacking asian Americans,"Since everything is online, it's easier for miscommunication to happen. Moreover, there is quite more work to do in all of my classes in addition to slightly more difficult exams since professors are making them open note. ","Zoom has slightly lowered the effect of social distancing on my academic and social life because even though I can still see my friends, we're not able to do activities together ","Before, I used to mainly focus on my academics. However, due to this pandemic, I shifted my focus to be more on my parents since they are older and are vulnerable to COVID-19. It made me realize that you never know what can happen within your life time that'll require immediate adaptation. ","It's nice to be home with my parents again. However, it can get loud with my other siblings also being home with me when I need to study."
