,Gender,Minor,Ethnic,Orientation,mother_edu,father_edu,Year,International,Transfer,EFL,FirstGen,STEM,GPA,HighGPA,SameEthnic,OtherEthnic,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.8,Q3.9,Q3.10,Q3.11,Q3.12,Q3.13,Q3.14,Q3.15,Q3.16,Q3.17,Q3.18,Q3.19,Q3.20,Q3.21,Q3.22,Q3.23,Q3.24,HelpFactor,InhibitFactor,FamilyValue,Academic,SES,Belonging,Stress,Exclusion,academic,stress,GPACateg,Sleep,Missing_classes,Homework,Exercise,Office_hours
11,Male,0,Asian,Heterosexual,High school or less,Two-year College,Senior,1,1,0,0,1,3.5,4,10,5,4,3,5,3,3,5,4,3,3,1,1,3,2,1,1,1,1,5,5,4,1,1,4,5,5,5,5,5,5,Definitely parental support. Without them it'd be possible.,Definitely parental support. Without them it'd be possible.,High Value,90.6,16.7,86.1,0,25,95,21.4285714285714,low,4,3,4,3,3
12,Female,0,Others,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Senior,0,0,1,0,1,3.3,3,3,20,3,2,5,5,3,5,4,1,5,5,5,2,4,4,5,1,4,3,4,4,1,4,5,3,1,5,4,2,5,Having a support group in my friends has helped me immensely. ,"Sometimes when I go to office hours, I'm scared to explain what I don't know to my professor in fear of being mocked or shamed for being behind. Thus, when I feel I am starting to get behind, it's just exponential because I'm too afraid to ask. Some professors I have had are impossible to keep up with and if you can't, they make you feel like you're too dumb to be in the major. I got a C in a lower division math pre-req for the Stats major(I had already taken a few upper division Stat classes averaging B grades) and I sought the Stats Academic counselor Lori. She told me that Statistics might not be the best major for me and told me to ""consider"" and easier major that had less math. I didn't-I'm graduating in Spring with at Stats degree.",NA,43.8,100,61.1,56.3,58.3,62.5,92.8571428571429,low,3,2,4,4,3
13,Female,0,Asian,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Junior,0,0,1,0,1,3.99,4.3,10,20,3,3,5,2,3,5,5,4,1,1,3,2,3,2,5,4,2,3,4,4,2,1,4,5,4,5,5,5,5,"I think my primary education played a huge role in my success academically at UCLA. I come from a very wealthy, predominantly white school in Michigan, and it was one of the best public schools in the state. Thus, the teachers were really great due to how much money our school district had. My school offered many AP courses, so I was able to take many difficult and challenging classes that pushed me to improve my critical thinking skills, studying habits, and more. I honestly feel as though my high school was much harder than college, as I had hours and hours of homework every night, and I studied way more in high school.","Although transitioning from high school to college was a breeze in terms of academics, I had a much harder time developing a social life at UCLA. My entire first quarter my freshman year, I had no friends and was very homesick and depressed. I actually wanted to drop out of UCLA and move back home, and I felt like I made a horrible decision in going to what I thought was my ""dream school."" I feel as though it was because the town I was from in Michigan was very small, and everyone from my high school had their own small ""bubble"" that we stayed in for all K-12 years of schooling. I went to school with the same exact people for 13 years, so it was really hard for me to move away from this tight-knit community to an institution that is 10x the size. Eventually, though, I made more friends in one of the clubs I had been in since my first month of college, and from that, I was able to develop more social skills and pushed myself to make more friends in classes and other clubs.",Average Value,65.6,16.7,75,62.5,33.3,87.5,42.8571428571429,high,3,3,4,2,3
14,Female,0,Asian,Heterosexual,Four-year College,Four-year College,Senior,1,0,0,0,1,3.89,4,20,3,4,3,5,3,3,4,5,2,2,2,2,4,3,4,4,2,2,2,4,4,4,2,4,2,4,4,3,3,3,To be not procrastinate is really important in finishing tasks no matter academically or socially.,procrastination sometimes inhibits my success and ruins my emotions,Average Value,53.1,25,47.2,50,58.3,60,50,high,4,3,4,3,3
15,Female,0,Asian,Bisexual,Four-year College,Four-year College,Senior,1,0,0,0,1,3.8,4.3,10,5,3,4,5,1,2,5,4,2,3,3,5,4,5,5,5,4,4,3,4,3,2,1,5,4,4,5,4,3,4,"Love and support from family, friendships, guidance and mentorship from older people, relationships, hard work/own diligence, ","1. Many UCLA Clubs and Greek Life (especially professional clubs) exclude most International students. If your English is not native and they can detect an accent, or if you don't look white washed enough, they would not want to include you in their club/organization. 
2. Departmental mentorship is not strong enough. I wish professors in my major could let me know more about possible career options for our major when I was a freshman/sophomore so I have more time to prepare for it.",High Value,37.5,66.7,52.8,75,41.7,70,85.7142857142857,high,3,4,4,2,2
16,Male,0,Asian,Heterosexual,Two-year College,Graduate or Professional Degree,Senior,0,0,1,0,1,3.7,4,15,10,3,2,5,5,1,5,2,2,1,1,5,1,3,2,2,1,3,3,3,5,1,4,4,3,3,5,4,4,3,"Finding the right friend group that I vibed with changed my life at UCLA. It made me feel welcome at the school, and it had a significant impact on me academically and socially. ",Professors who have a difficult time communicating/giving lectures. ,Average Value,62.5,33.3,63.9,31.3,50,62.5,39.2857142857143,high,3,2,4,4,2
17,Male,0,Asian,Heterosexual,Four-year College,Graduate or Professional Degree,Senior,1,0,0,0,1,3.86,4.13,20,6,4,2,5,4,3,4,4,3,2,1,1,4,2,3,2,2,3,2,4,5,2,1,2,4,4,4,5,5,5,NA,NA,Average Value,71.9,8.3,75,43.8,16.7,80,21.4285714285714,high,4,2,4,4,3
18,Female,0,Asian,Heterosexual,Four-year College,Graduate or Professional Degree,Sophomore,1,0,0,0,1,3.8,4,30,5,5,2,4,4,4,2,4,4,3,3,2,2,3,2,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,Hardwork,Challenges,Low Value,53.1,41.7,52.8,56.3,41.7,47.5,42.8571428571429,high,4,2,4,4,4
19,Female,0,Calcasian,Bisexual,Graduate or Professional Degree,Four-year College,Senior,0,0,1,0,0,3.4,4,1,7,5,2,5,3,2,5,3,2,4,2,3,1,2,2,4,3,5,3,3,4,2,2,1,3,3,5,4,3,4,Spending time with friends and doing activities I enjoy have helped the most.,Personal changes inhibited me at times.,Average Value,56.3,50,66.7,68.8,16.7,62.5,39.2857142857143,low,4,2,4,3,2
20,Male,0,Asian,Heterosexual,High school or less,Two-year College,Senior,0,1,1,1,0,3.2,4.3,10,5,2,3,5,5,3,3,1,3,5,4,4,2,5,4,5,3,5,1,1,5,2,2,3,4,4,5,4,3,3,My parent’s teachings were a big reason why i succeeded.,My unwillingness to get out of my comfort or lazy zone,Average Value,21.9,83.3,58.3,87.5,33.3,52.5,82.1428571428571,low,2,3,4,4,3
21,Female,1,Asian,Heterosexual,Four-year College,Four-year College,Senior,1,0,0,0,1,3.907,4,30,10,4,3,5,3,3,5,5,2,4,3,5,1,4,4,5,1,3,2,5,4,2,1,3,4,5,5,4,3,5,Great friends and strong friendships.,"Struggling with pressure from different aspects, e.g., financially, expectation from family, etc.",High Value,50,75,80.6,56.3,25,80,75,high,4,3,4,3,3
22,Male,0,Asian,Heterosexual,Two-year College,High school or less,Senior,1,0,0,1,1,3.84,3.97,10,2,3,2,5,3,3,5,5,5,1,1,2,5,3,1,2,2,3,5,5,5,2,1,5,5,5,5,5,5,5,Courses and friends,career service,Average Value,90.6,8.3,66.7,25,41.7,100,28.5714285714286,high,3,2,4,3,3
23,Male,1,Calcasian,Heterosexual,Graduate or Professional Degree,Four-year College,Senior,0,1,0,0,0,3.7,4.3,3,10,4,1,5,5,3,4,2,3,2,1,2,2,2,2,4,4,4,4,4,4,4,3,3,2,3,5,3,4,4,"Supportive family and friends are the biggest factor. Switching out of a STEM major also significantly improved my quality of life. These majors, especially at UCLA, prevent students from having any sort of life outside of university. ","As a student who initially entered the university system expecting to graduate in a STEM field, I found many of the ‘introductory courses’ (such as biology & chemistry) to be especially difficult. These “weeder” classes are usually a student’s first impression of their major and often lead to many freshman switching majors. I experienced, first hand, that these classes are not only difficult but they actually discourage students from continuing in the STEM field. It is completely standardized and curved against the average student and for that reason many people are unable to succeed. Even though I passed my science classes at UCLA with an A, it came at a cost. 
",Average Value,62.5,16.7,44.4,62.5,58.3,62.5,32.1428571428571,high,4,2,4,4,3
24,Female,0,Asian,Heterosexual,High school or less,High school or less,Senior,0,0,1,1,1,3.378,3.94,10,10,3,3,5,4,3,5,5,2,2,2,3,2,3,2,5,2,3,4,4,5,1,1,3,4,4,5,4,4,3,"Growing up in a family that emphasized education and academic success instilled in me a drive to achieve. In addition, I was frequently surrounded my friends who shared the same mindset, which allowed us to mutually support and relate to each other's experiences. I was able to carry this with me to UCLA, which allowed me to succeed at the university.","While I have always had a strong desire to achieve, the immense amount of pressure I put on myself has made it more difficult to see my experience as ""successful."" Since my family and I place such high expectations on my performance, I struggle to balance my various obligations, consequently affected my social and emotional success.",High Value,68.8,33.3,72.2,50,16.7,80,46.4285714285714,low,3,3,4,4,3
25,Female,0,Asian,Heterosexual,Four-year College,Four-year College,Senior,0,0,1,0,0,3.3,3.9,10,2,4,1,4,3,4,4,3,3,4,4,4,3,3,2,3,3,3,3,5,3,2,2,3,4,4,4,4,4,4,The factors that helped me where being able to join a Christian group and spend time deepening my faith. ,NA,Average Value,62.5,75,63.9,50,33.3,70,57.1428571428571,low,4,2,4,3,4
26,Female,0,Asian,Heterosexual,Two-year College,Two-year College,Senior,0,1,0,1,1,3.3,3.6,10,10,4,2,5,5,5,4,4,5,5,5,3,3,3,3,3,3,4,5,5,1,1,4,4,4,4,4,5,5,5,"Nice Professors, Good Counseling of Health",I cannot think of any,Low Value,65.6,83.3,61.1,43.8,50,80,67.8571428571429,low,4,2,4,4,4
27,Male,1,Calcasian,Heterosexual,Four-year College,Two-year College,Senior,0,0,1,0,1,3.189,4.8667,10,50,4,3,4,3,2,5,4,3,4,3,5,3,5,5,5,3,5,3,3,2,3,4,3,3,4,4,4,4,4,"Having driven fraternity brothers that care about their school-work and future career definitely helps to motivate me. Older brothers have given me advice on classes to take over the years, and I think it has helped me to avoid some but not all undesirable professor experiences. ","Romantic turmoil has negatively impacted my academic, social, and emotional success at UCLA. Lack of personalized advising at such a large public school has been challenging academically. Not being as wealthy as some of my friends has forced me to miss out on some social experiences throughout college.",Average Value,34.4,75,47.2,75,58.3,62.5,82.1428571428571,low,4,3,4,3,2
28,Male,0,Asian,Heterosexual,Four-year College,Graduate or Professional Degree,Senior,1,1,0,0,1,2.3,4,10,5,3,2,5,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,professors assist,financial aid,Low Value,50,75,41.7,62.5,75,70,75,low,3,2,4,4,4
29,Female,0,Asian,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Senior,1,0,0,0,1,3.55,3.86,30,5,3,3,5,3,3,3,3,1,1,1,1,1,3,1,4,1,1,4,4,4,1,1,1,5,4,5,5,3,3,A lot of friends better than me,Sometimes don't know where to go for support ,Average Value,62.5,0,94.4,25,0,75,17.8571428571429,low,3,3,4,3,3
30,Male,0,Latino/Hispanic,Heterosexual,High school or less,High school or less,Junior,0,1,1,1,1,3.6,2.6,5,10,4,1,5,3,3,3,2,2,4,2,4,1,2,2,4,2,2,4,4,4,4,4,5,4,2,2,4,4,4,"The most important factor that has contributed to my overall success so far is how I was raised. My parents deserve most of the credit. I am convinced that both my parents distilled a good sense of morality in me. Although I was spoiled, my parents made it a priority to discipline me. ","I grew up in an area with a low diversity index. Before attending UCLA, I guess it is safe to say that I was close minded. I had minimum perspective and did not consider the value of getting to know people of other ethnic and cultural backgrounds.",Low Value,62.5,58.3,58.3,37.5,83.3,60,57.1428571428571,high,4,2,4,3,3
31,Female,0,Asian,Heterosexual,Two-year College,Four-year College,Senior,1,1,0,0,1,3,3.9,8,2,2,2,5,3,4,3,3,3,2,2,2,3,4,5,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,the willing to live a better life,I'm passionable about life and study,Low Value,40.6,25,52.8,43.8,50,50,50,low,2,2,4,3,4
32,Male,1,Asian,Heterosexual,High school or less,Four-year College,Junior,1,1,0,0,1,1.6,3.9,12,1,2,1,5,5,5,5,5,5,4,5,5,5,5,4,5,1,5,5,5,5,1,1,5,2,5,5,5,5,5,"One of the factors that helped me succeed academically at UCLA is keeping going to my belief. My goal is going to study graduate school at UCLA successfully, but my grade is not good right now. However, my professor shares me some good suggestion and I got much more confidence and make a summary for me to fix my mistake. I think that is the most important point that helps me succeed at UCLA in the future.","I think the factors that have inhibited my success academically at UCLA is my studying style. The reason is that I usually study a new thing by using inflexible thinking. Also, I don't think very deeply about questions when I was studying and I think there is an issue to inhibited my success academically at UCLA ",Average Value,65.6,91.7,58.3,50,33.3,92.5,92.8571428571429,low,2,2,4,4,4
33,Male,0,Asian,Heterosexual,Two-year College,Graduate or Professional Degree,Senior,1,1,0,0,1,3.7,3.8,50,10,4,1,5,5,3,4,3,4,2,1,2,2,3,3,3,2,2,4,4,4,2,2,3,5,4,4,5,5,5,"Classmates always share their ideas with me, and they always help me to solve the assignment problem.  For some group assignments, my group members always took an active part in finishing the assignments.mates",NA,Low Value,65.6,16.7,80.6,31.3,33.3,82.5,35.7142857142857,high,4,2,4,4,3
34,Female,0,Latino/Hispanic,Heterosexual,High school or less,High school or less,Senior,0,0,1,1,0,2.3,3.7,2,5,3,3,5,2,2,5,4,3,4,5,4,2,4,4,5,1,3,4,4,3,4,3,3,4,4,5,4,3,5,"What helped me succeed academically was the writing center and office hours. Socially, my friends that I made in the dorms.",Something that inhibited my success at UCLA was the work load that did not let me go out and socialize. Also I was unaware of the resources available on campus or the events taking place on campus because I did not receive any notifications regarding that. ,Average Value,46.9,83.3,66.7,43.8,58.3,75,78.5714285714286,low,3,3,4,2,2
35,Male,1,Asian,Heterosexual,Graduate or Professional Degree,Four-year College,Senior,0,1,1,0,0,3.81,3.85,50,30,3,2,5,4,2,4,3,2,3,2,4,2,2,2,4,4,3,3,3,4,2,4,2,4,4,4,4,2,3,"Being involved in Grace on Campus (Christian Club), praying, and my support system.",Difficulties of being a transfer student.,Average Value,53.1,50,58.3,62.5,41.7,60,42.8571428571429,high,3,2,4,4,2
36,Male,0,Asian,Heterosexual,High school or less,High school or less,Senior,0,0,1,1,1,2.8,4,25,64,2,2,5,3,4,4,2,3,5,5,5,2,2,1,1,1,1,5,4,5,1,1,2,5,4,5,5,5,5,"When I was struggling trying to get accustomed to UCLA, I decided that have more friends from different backgrounds (both ethnicity and location i.e. from China, from Africa, etc.) would benefit me. Some of these people brought new knowledge that I haven't thought about before. They taught me how they can use different studying tactics, understanding the material by looking at it a certain way, and more.",I would say nothing but myself has caused me to inhibit my success here at UCLA. I have no one to blame but myself for my own failures.,Average Value,84.4,100,94.4,0,8.3,87.5,50,low,2,2,4,3,4
37,Male,0,Asian,Heterosexual,Two-year College,Two-year College,Senior,1,0,0,0,1,4,3.93,10,2,3,2,5,1,4,4,5,2,3,1,2,2,2,2,2,1,2,4,5,4,2,2,2,3,4,5,4,5,4,NA,NA,Average Value,84.4,25,75,18.8,25,82.5,25,high,3,2,4,2,4
38,Male,0,Asian,Heterosexual,Four-year College,Graduate or Professional Degree,Junior,0,0,0,0,1,3.1,4.3,20,10,3,2,5,5,3,4,2,3,4,2,4,1,4,3,2,1,2,4,4,2,2,1,4,4,4,5,5,4,4,"Joining a Christian fellowship on campus has provided me with lots of opportunities to grow and learn, as well as lots of resources",High school did not prepare me well enough academically,Average Value,53.1,58.3,80.6,18.8,33.3,70,57.1428571428571,low,3,2,4,4,3
39,Male,1,Asian,Heterosexual,High school or less,High school or less,Senior,1,1,0,1,1,3.3,3.8,10,3,3,2,4,3,2,5,4,5,4,4,4,2,5,5,5,5,4,4,4,4,3,3,5,4,4,4,4,4,4,"one thing that help me is definitely the AAP program and consoler, they help me in my path academically and emotionally, such as when I fail the class two times and don't know what to do(since some of the class is only allow us to repeat two time), I went to talk to them and they will give me advices and also direction of what I should do next. And socially, I join some the fraternity and club in campus in order to wider my circle. ",Procrastination,Low Value,46.9,75,47.2,75,66.7,75,89.2857142857143,low,3,2,4,3,2
40,Female,0,Asian,Heterosexual,Four-year College,Graduate or Professional Degree,Senior,0,0,1,0,0,3.75,4.53,40,20,3,2,4,2,2,4,4,2,2,2,2,4,4,4,4,4,4,2,4,4,2,2,2,2,4,4,4,4,4,NA,NA,Average Value,50,25,52.8,75,25,65,46.4285714285714,high,3,2,4,2,2
41,Female,1,Calcasian,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Senior,0,0,1,0,0,3.58,3.96,50,50,3,2,5,2,2,4,4,1,1,3,2,1,2,1,4,3,2,4,5,4,1,1,2,5,4,5,4,3,4,"The factors that have contributed to my social and emotional success have definitely been the relationships I have formed through the organizations I am a part of. I have met almost every one of my friends through a club or organization I have joined during my time at UCLA. These individuals offer a lot of emotional support which helps me both in and outside of academics. Additionally, I think it is helpful to have other involvements outside of academics to provide a proper balance in my life. Academically, I have succeeded most when I have established either a study group, a strong relationship with a professor, or have invested in tutoring for a course. I have found that being able to collaborate on work is helpful for my learning.","The factors that have inhibited my academic success have been classes where the TA and the professor aren't as accessible to students. Additionally, I tend to find my sociology classes to be extremely interesting and academically attainable for me, but my statistics classes tend to be much more challenging and much less collaborative. I often feel most uncomfortable in my statistics classes and make far fewer connections with other students. The primary factor that has inhibited my emotional success has been frustration with academics or general overcommitment. This can also affect my social success.",High Value,71.9,25,83.3,43.8,8.3,80,28.5714285714286,low,3,2,4,2,2
42,Male,1,Asian,Heterosexual,High school or less,High school or less,Senior,1,1,0,1,1,3.3,3.8,10,3,2,2,4,3,2,4,4,3,4,4,4,2,5,5,5,5,5,3,4,4,3,3,4,4,4,4,3,4,4,counselor and app program helps a lot  ,Procrastination,Average Value,43.8,75,44.4,87.5,58.3,70,85.7142857142857,low,2,2,4,3,2
43,Male,0,Asian,Heterosexual,Four-year College,Four-year College,Senior,1,1,0,0,1,3.4,4,12,3,4,2,5,3,4,4,3,2,4,2,4,1,3,2,3,2,3,4,4,3,3,3,3,4,3,2,1,3,2,build a study group,N/A,Low Value,59.4,58.3,52.8,37.5,50,47.5,50,low,4,2,4,3,4
44,Female,1,Asian,Heterosexual,Four-year College,Four-year College,Junior,0,0,1,0,1,3.312,4.56,5,20,2,2,5,3,2,5,2,1,4,5,4,1,3,3,5,1,3,2,3,3,4,2,3,2,3,4,2,1,2,finally finding friends that see my potential and helped me work to achieve it,people don't believe that I'm depressed.,Average Value,31.3,83.3,52.8,56.3,50,35,71.4285714285714,low,2,2,4,3,2
45,Female,0,Others,Heterosexual,Four-year College,Graduate or Professional Degree,Junior,0,0,1,0,1,3.6,4,10,10,5,4,1,5,4,1,1,5,2,2,1,2,1,3,1,2,3,1,1,1,2,2,1,1,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,7.5,14.2857142857143,high,4,4,2,4,4
46,Male,1,Others,Heterosexual,Four-year College,Four-year College,Senior,0,0,1,0,0,3.3,4.8,20,20,1,1,5,4,2,3,5,3,2,4,2,1,5,5,5,1,5,1,3,4,4,3,4,2,5,5,3,3,4,Being in a diverse fraternity has helped me socially & emotionally.,being in a fraternity...lol,Average Value,34.4,41.7,50,75,66.7,62.5,71.4285714285714,low,2,2,4,4,2
47,Female,1,Asian,Heterosexual,High school or less,High school or less,Senior,1,0,1,1,1,3.6,3.8,30,30,4,3,5,4,3,3,4,2,3,3,5,2,4,2,3,1,4,4,4,4,1,3,2,5,5,5,5,5,5,"Joining professional and social organizations, attending events, making an effort to build strong relationships (grabbing meals/coffee, doing other activities with people. ",Comparing myself academically and socially to others on campus (without taking into account our differences). Feeling like I need to perform a certain way because of the way others are. ,Average Value,68.8,66.7,80.6,37.5,25,90,53.5714285714286,high,4,3,4,4,3
48,Male,0,Asian,Heterosexual,Four-year College,High school or less,Senior,1,1,0,0,0,3.2,3.7,50,2,3,2,5,4,2,3,4,3,1,1,3,1,2,4,4,2,3,3,4,4,3,3,4,3,3,5,4,4,3,"I was running a restaurant business during my junior year after I transferred, but it is hard for me to completely focus on my academic life, however, different from other student who have social connections between school mates, I have more social connections with outside people. This stress of working and studying combined together used to make me felt stressed and depressed. However, this experience taught me more than school can, including the failure and success in the real society. And by combining what I learn from the society and school work actually helped me easier to understand more school work easier. I don't identify myself as succeeded, but this whole experience of me during school time cannot be ignored in my future.","Same as above, this other side of working and studying together inhibits me from focusing on study only as I mentioned. Which result in I am not able to only focus on my academic to maintain a higher GPA  that I am able to. ",Low Value,59.4,16.7,58.3,50,58.3,67.5,42.8571428571429,low,3,2,4,4,2
49,Female,0,Asian,Heterosexual,High school or less,High school or less,Senior,1,0,0,1,1,3.6,4,3,1,2,2,5,3,3,4,3,2,2,1,2,2,3,3,4,3,4,2,2,2,4,3,4,3,3,4,3,3,4,classmates and friendly TAs,close friends for social and review sessions for academic,Average Value,37.5,16.7,47.2,68.8,66.7,47.5,42.8571428571429,high,2,2,4,3,3
50,Male,1,Latino/Hispanic,Heterosexual,High school or less,High school or less,Senior,0,1,1,1,1,3.1,2.3,6,10,3,2,5,3,2,5,1,3,5,5,4,2,4,3,5,1,4,5,3,4,5,5,5,2,5,5,3,4,4,"One factor that has helped my success is my full-ride scholarship. I am a recipient of an outside scholarship for community college students that provides up to $40,000 in support until I graduate. This has allowed me to study more, volunteer in labs, and not have to work.",Not having more Latinos in math/stats courses. Generally classes are full of white and Asian students. This leads to them forming study groups and excluding others that are not like them (it may or may not be intentional). This forces me to work harder than them in order to be around the curve for midterms since I do not have that support that they do with one another. The grading schemes and curves of classes at UCLA hurts those students who cannot form study groups.,High Value,46.9,91.7,38.9,43.8,100,65,85.7142857142857,low,3,2,4,3,2
