"Timestamp","Demographics","Fill-in your major","Fill-in your minor","Ethnic background - If you select Asian or other please, specify country of origin by typing in the line given in front of the ""Other"" option.","Year in college","Are you an International student","Are you transfer from community college? ","What is your UCLA GPA","Is English your first language?","Are you first generation to attend college? ","Mother’s level of education","Father’s level of education","Question one. Tell us or provide examples of situations in which academic issues made it challenging for you as a STEM major?","Question two. Tell us or provide examples of situations in which emotional, social, or cultural issues made it challenging for you as a STEM major?","Question three. Tell us or give us examples of situations that helped you feel a “sense of belonging or lack of it” to our campus?","Question four. Please provide us with suggestions of potential steps that could be taken to minimize the challenges of STEM majors at UCLA."
"2019/07/09 12:10:16 AM MDT","Male","Computer Science","","Asian","Senior","No","No","3.736","Yes","No","Two year college","Four year college","""Downcurving"" grades, which is a popular practice in STEM subjects, made the environment feel competitive and unfriendly.","Very few times I've had outwardly egotistic/pompous TAs and classmates that made me feel small and not cut out for STEM.","Joining clubs/organizations and meeting people in them made me feel more part of the community. Also doing group work/projects in classes had the same effect for me.","I think the main challenge of STEM majors is the stress associated with classes. I believe that if there were more transparency/communication between students and the instructing staff, particularly about things like teaching methodology or making clear the intent of assigned work, then classes would be more humanized and feel less daunting to students."
"2019/07/09 12:19:42 AM MDT","Male","Mathematics/Economics","Statistics","Asian","Junior","Yes","Yes","3.4","No","Yes","High School or Less","High School or Less","When money is a problem to you and you want to finish off everything (your requirement for your major/minor) which forces you to take 4 classes every quarter.","When you have to live up the expectations of your big family as an Asian and at the same time have some poor financial background that kind of force you to find a part time job in order to pay your own rent etc.","Lack of sense of belonging when taking STEM classes everyone feels so individual compared when taking other general education class where everybody is so talkative to each other and take initiatives more.","Have a standard procedure to teach students in an organized way where every instructor is given the opportunity to learn how to keep on track and to keep students understand the class concepts step by step."
"2019/07/09 12:22:36 AM MDT","Male","Statistics, Economics ","","Asian","Here for summer school","No","No","3.27","Yes","No","Graduate or professional degree","Graduate or professional degree","Feeling pressured to compete against other STEM students. Professors teaching in ways that didn't align with my learning style also made it difficult. Additionally, being in a class with a professor that doesn't give out all A's, compared to all the other professors who give out all A's. ","Feeling pressured as a UCLA student, because of desire to succeed amongst such a smart population. ","Joining different clubs made me feel very welcomed to UCLA. For example, I was able to meet so many good friends through Bruin Club Tennis. ","Having counselors and professors understand the difficulties students have when choosing courses. Sometimes people choose courses simply based on an easy grade distribution, or they choose a certain professor for a course because of a grade distribution. However, I think professors should strive to grade more similarly with one another, and to discuss their teaching styles and see what works and what doesn't."
"2019/07/09 1:01:57 AM MDT","Female","Applied mathematics ","NA","Latino/Hispanic","Senior","No","Yes","2.67","Yes","Yes","Two year college","High School or Less","A significant amount of Homework for 10% of your grade.Having a midterm (or more) after a holiday.","Being in a relationship was hard. Being there for family events also hard. Showing up for family (funeral, dinner, etc.). Living far from campus also. ","Sense of belonging from other students who I relate to.","NA"
"2019/07/09 1:09:40 AM MDT","Female","Financial Actuarial Mathematics","","Asian;Indonesia","Senior","Yes","Yes","3.35","No","No","Four year college","High School or Less","Math grades were not good in high school and it made me question my dream to become a STEM major","People have told me that Math majors won't go far","The diversity on campus","More events that can connect and encourage a lot of people"
"2019/07/09 1:29:52 AM MDT","Female","Economics","Stats","Asian","Senior","No","Yes","3.4","No","Yes","High School or Less","High School or Less","Requirement math class a little bit hard for me","NA","Nice and patient professor and ta will make me feel a sense of belonging.","Maybe, reduce some math requirements"
"2019/07/09 5:59:58 AM MDT","Female","Economics, Statistics","","Asian;Indian","Senior","Yes","No","3.307","No","No","Four year college","Graduate or professional degree","In some Stats upper divs especially related to programming, I face challenges because while Im coming in with basic background and computer science/engineering majors who have learnt how to think in code lines make it hard for me to perform relative to my peers.","I have a personality disorder, my symptoms including anxiety and depression. Im registered with CAE, without whom Id be lost, but I still struggle more than my peers because of how much more time I need which affects my self esteem","As someone who initially came in as non-STEM, I actually dont think STEM majors are integrated into normal campus culture and some of that is not having the time ","Weighing grading differently based on classes you took before and measuring how much you have to learn for the first time"
"2019/07/09 9:17:18 AM MDT","Male","Statistics","","Asian","Senior","No","Yes","3.2","No","No","High School or Less","Graduate or professional degree","Create more classes for prerequisite Math classes","pressure to improve GPA in order to find a job","not really","Provide more class schedule times every quarte (at least 3) so students can have a more flexible schedule"
"2019/07/09 10:00:13 AM MDT","Male","Statistics","","Caucasian;Latino/Hispanic","Senior","No","Yes","3.0","Yes","No","Graduate or professional degree","Graduate or professional degree","Personally, as a visual learner, some teachers spend too much time on definitions and not enough time on writing down examples that help me to visualize the definitions.","The culture of competition between other STEM UCLA students (and the pressure of getting good grades as UCLA students) make the curves in classes difficult to deal with, especially in classes with difficult exams where the teachers HAVE to set a curve. Many STEM major students have a generalization of being quiet and not extremely willing to talk, which makes it difficult sometimes to form study groups.","Being part of a transfer floor and getting to know each other over the struggles we made to get here and finding a club that I can associate myself with helped me feel like I belong here. However, the INTENSE competition within STEM classes makes me feel less like I belong here, because of being on the average range of the spectrum of STEM students (not great grades, but not bad ones either; between a B- and C+ range; even though I get an average A in a GE class), ALMOST feeling like I am out of UCLAs STEM major league","With the issue of STEM major students being generally quiet and since there is a need in the “real world” to collaborate on teams more often, there should be AT LEAST 5-10 minutes spent each class for people to work IN GROUPS (assigned or self-forming) to inspire cooperation instead of competition between UCLA STEM major students"
"2019/07/09 10:09:25 AM MDT","Female","Applied Math & Stats","","Asian;China","Freshman","Yes","No","4.0","No","No","Graduate or professional degree","Four year college","Haven't really encountered any","From high school when I attend AP Physics, I was the only girl in class. Sometimes it may feel a little lonely I guess.","Overall, all the people I met here are really welcome and nice, Bring me a sense of belonging. However, I know some people despise China and Chinese people for all sorts of reasons, and that makes me upset and sometimes angry. ","As a student just finished freshman year, I haven't encounter any large challenge yet. However, I often have worries about the difficulties of getting interns and jobs later in US as international students. "
"2019/07/09 10:21:23 AM MDT","Female","Accounting","statistics","Asian","Sophmore","Yes","No","","No","No","High School or Less","Graduate or professional degree","Not having any background or knowledge in computer science, it is hard for me to self-study after class, so I always need lots of help from classmates to continue with the slides that I don't understand or assignment that isn't taught in class.","Since I'm not an outgoing person, sometimes it's hard for me to actively get involved in a group, so when mission comes within a group, I feel hard to make first step.","When I don't know where I can get help from studying, like when I'm alone with my project, I feel lack of a sense of belonging to our campus.","It would be helpful if the professor upload some teaching videos on how to operate computer program."
"2019/07/09 10:23:08 AM MDT","Male","Cog Sci","Music Industry","Caucasian","Senior","No","No","3.7","","No","Graduate or professional degree","Graduate or professional degree","getting the classes I need to graduate on time.","Dealing with anxiety while trying to keep up in a high intensity class.","Not being able to get the classes I needed and getting relatively no sympathy on the matter from my department.","Add more PIC classes."
"2019/07/09 10:24:51 AM MDT","Male","Cog Sci","Music Industry","Caucasian","Senior","No","No","3.7","Yes","No","Graduate or professional degree","Graduate or professional degree","not getting the classes I needed to graduate on time.","dealing with anxiety while in a high stress class","not getting sympathy from my department when confronted with logistical/academic issues.","add more PIC classes."
"2019/07/09 10:32:16 AM MDT","Male","Applied-Math","Statas","Asian","Junior","Yes","Yes","3.6","No","No","Four year college","Graduate or professional degree","Friends raving while I'm proofing theories","North-campus friends compaining that they have a lot of homeworks :D","I missed the ori, when I came to the campus the first time, not noing every one makes me feel a lack of belonging. ","Make stats cources more avaibable for students？"
"2019/07/09 10:36:27 AM MDT","Female","UX Design","CS","Asian","Here for summer school","Yes","No","3.6","No","No","Graduate or professional degree","Graduate or professional degree","lack of usage of the course material when going for the real world project","emotional issue is something make u happy and keep learning independently, self control is sometimes important but need practice.","when I go for my tennis lesson which i forget all my pressure here and I feel the sense of belonging","small learning group, because sometimes i feel i really need to discuss some questions with classmates. However, it is important that handle it by our own how we solve the q under our own honest conduct."
"2019/07/09 10:42:01 AM MDT","Female","design","cs","Asian","Here for summer school","Yes","No","3.5","No","No","Graduate or professional degree","Graduate or professional degree","the learning speed when listening to the class, the pace is important.","emotional issue, focusing on the project need self control.","“sense of belonging"", when i go for the tennis class.pressure release.","small discussion group is important when we need classmate to talk."
"2019/07/09 10:53:07 AM MDT","Female","Psychobiology","Music Industry","Asian","Here for summer school","Yes","No","3","No","No","Graduate or professional degree","Graduate or professional degree","I found most STEM classes very fast paced and some classes don't provide enough recourses and help. ","I didn't experience any cultural issues. I think people are very accepting and open minded. ","Many classes are big and it's hard to have a more personal connection with professors. ","Provide more self study resources and tutorial videos for students. "
"2019/07/09 11:08:16 AM MDT","Male","CS","N/A","Asian","Senior","Yes","No","3.6","No","No","Four year college","Four year college","Math background","People always say asians are supposed to be good at math","student organizations","better grade lol"
"2019/07/09 11:35:18 AM MDT","Male","Statistics","Anthropology","Latino/Hispanic","Senior","No","Yes","2.35","No","Yes","High School or Less","High School or Less","Bad professors/lecturers, TA's who cannot explain their thought process, heavy workload for assignments, high grade weight on exams.","Being a minority student in STEM is difficult. Generally the STEM field is mostly white and Asian. There is a stigma of not being competent enough to join their study groups. Transfers are also typically shunned as well. This makes it very difficult to do well because the study groups helps students do well enough to maintain a certain grade, which raises the curve. Those students not in the study groups are at a significant disadvantage because they are testing against those study groups.","Transfers are not cared for like UCLA makes it seem before transferring here. Transfer student orientation is a rushed event that forces students to take unnecessary courses and confuses many transfers. Professors, students, and even counselors have made negative remarks regarding me being a transfer student. The only people who care for transfers are other transfers.","Lessen the weight of exams on grading schemes and teach TAs (and even professors) how to explain topics in an understandable manner. Although professors are hired to do research, it does not give them an excuse to be bad lecturers. UCLA should be more inclined to hire professors who can perform both tasks well. Students are always complaining about how confused they are after lectures because their professors can't explain topics well. The STEM field should require some type of speech courses for STEM students because they are future TA's (and some professors) who should be able to help future undergraduates."
"2019/07/09 11:37:29 AM MDT","Female","cognitive science","statistics and digital humanities","African American;Caucasian","Senior","No","Yes","3.0","Yes","No","High School or Less","Graduate or professional degree","I didn't do well in multi-variable calculus and it made is so that the school made it difficult for me to increase my units for summer so that I could finish my minor in time ","I have social anxiety that's been diagnosed by my doctor and because of that, I find it difficult to talk to classmates.","I feel a sense of belonging every time I see young kids visiting the campus and looking up to me or asking me questions about my experiences. ","Make it so that we can take different paths. If someone is not strong in something, give them extra classes to take as a different option that still benefit their major/minor, yet don't set them up to fail at what they are not strong in."
"2019/07/09 11:43:51 AM MDT","Male","Statistics","","Latino/Hispanic","Senior","No","No","2.635","Yes","No","Graduate or professional degree","Graduate or professional degree","The difficulty, my lack of enjoyment, and poor grades led me to switch from Mechanical Engineering to Statistics.","Switching majors was one of the most difficult challenges of my life. I had to leave my friends behind. I had to accept that I was a failure in academics for the first time in my life, after being #1 in my class all throughout my childhood. I felt like I let my friends down, my teachers down, my parents down. Imposter syndrome destroyed any of my confidence and self-esteem.  I experienced, and still do from time to time, a true deep sadness and loneliness unlike anything other before I came to UCLA.","Athletic events provide me with a happiness and sense of belonging that brings me back to when I was a little kid, going to basketball and football games with my family.","(Speaking from an Engineering perspective)
- Less competition (curved-straight scale is fine, but curved scale pushes people away from each other, and drives students to isolate themselves in fear of helping someone that may do better than them)

-More appreciation of mental health (professors do not really care about anything outside their classes, unless it's a near death experience and do not realize it may be some of their classes that causes this madness)

I can clearly see that the Statistics department is much more aware of these points, and one of the reasons I am grateful that I switched."
"2019/07/09 11:55:47 AM MDT","Male","Computer Science","NA","Asian","Junior","Yes","Yes","3.45","No","No","Graduate or professional degree","Graduate or professional degree","As a student in a competitive major, especially in a competitive university, it is very strenuous. There are a lot more competitive, smarter, and hardworking students and that affects the curve, so it is a struggle for students who usually score below the median.","As a STEM major, I would say that it is very hard emotionally and mentally to keep up with other competitive students, and it makes it stressful to keep up. For example, receiving a B in a class where 50% of the students receive an A brings down your confidence.","As an international student, the culture in UCLA is very different and it makes it hard for us to hang out with other students other than our own fellow international students.","As a Computer Science major, I feel like the department is pretty lazy and uncaring for students. I would suggest hiring more professors that are more interested in teaching than their research."
"2019/07/09 12:41:40 PM MDT","Female","Statistics","","Latino/Hispanic","Junior","No","No","3.0","No","No","Graduate or professional degree","Graduate or professional degree","Obtaining classes is difficult. The whole enrollment process can be tedious.","As a woman, I feel I am stereotyped as 'less intelligent' than men.","Making friends who help each other in class gives me a sense of belonging. Many people at UCLA are unfriendly and rude, and that makes me feel a lack of belonging.","More 'social' events where we can discuss STEM material in an environment that is not demanding, like class."
"2019/07/09 1:20:09 PM MDT","Female","Sociology&Statistics","","Asian","Sophmore","Yes","No","3.86","No","No","Four year college","Graduate or professional degree","In some classes there's a high level of requirements on coding but the pre-reqs doesn't help students well enough for coding and it's hard to find the outside help.","As an international student, I used to write out the answer of the question and omit some writing process. Sometimes it's challenging to hit full grades of the question because I didn't write the process properly even when I got the right answer.","For coding. TA's OH are full with people so students who are weak at code cannot get the answer as they expected. Moreover, there's no tutoring service.","Maybe provide more tutoring service. And maybe most importantly, open seats and lecs so that it won't be extremely hard for students to get classes."
"2019/07/09 2:45:28 PM MDT","Female","Cognitive Science","","Asian","Junior","No","No","3.1","Yes","No","Two year college","Four year college","Poor high school education: Limited AP courses. Did not have strong calculus, chemistry, or physics background. 

At UCLA: Lectures packed with 300+ students so it is hard to concentrate. Material is presented very fast, and I feel shy to ask questions. Some professors are unapproachable and not engaging. Labs/discussions do not feel useful. ","Winter quarter of my freshmen year, I got symptoms of my autoimmune disease that made it hard for me to walk for about 2 months. Emotional instability from having this disease impacted my grades negatively, as I did not feel like going to class, and was depressed. My self esteem was very low and affect my social life, which then also affected my grades. With regards to cultural issues, I am stressed because I feel like I am always the ""odd Asian"" because I do not fit the stereotype of the Asian who surpasses in science classes, and instead struggles and barely passes. 
","I am not sure of I have ever had a sense of belonging on campus, but I have had plenty of times where I questioned my place here. Those times are when I am struggling a lot keeping up with my classes, and then getting bad grades, eating alone, lying in bed, being unproductive, etc. ","Make classroom/lecture settings more engaging my reducing size of 300+ to about 100. It makes a difference for me because I get less distracted. Take attendance so there is incentive to go to class without being unnoticed, and use clickers for quizzes so students have to study for them. Make TAs and professor feel available for the students. Make professors have review sessions. Have consistency with course content and grade distribution, so that students don't feel like it is worse to take it with a certain professor and that affects their grade. "
"2019/07/09 4:27:25 PM MDT","Female","math of computation","statistics","Asian","Freshman","Yes","No","3.8","No","No","Four year college","Graduate or professional degree","I haven't been exposed to computer science previously, so it's quite difficult for me to learn some programming language at beginning. ","As a girl who want to explore in the STEM field, I need to tackle with the pressure coming from the society wherein most people hold the point that STEM is the boy's field, and girls are not talented in math and science. ","I always feel a sense of belonging at UCLA since there are helpful students and professors who are always willing to help me when I reach out. ","There could be more activities and clubs hold to make more students enjoy the interests steming from the STEM field. "
"2019/07/09 6:09:14 PM MDT","Male","Statistics ","None","Asian;India","Senior","Yes","No","3.4","Yes","No","Graduate or professional degree","Graduate or professional degree","Many times I struggled with concepts particularly in math classes and had to spend long hours trying to work through the concepts. These included linear algebra and analysis. ","There’s no particular instances of this ","I felt a lack of belonging occasionally because of the large campus size and the deeply impersonal culture at UCLA ","Make study groups and small clubs to give students a bette and more personal experience "
"2019/07/09 8:01:56 PM MDT","Male","Physics","","Asian","Freshman","Yes","No","3.977","No","No","Four year college","Four year college","Have to take GE courses, which are mostly completely different from a STEM course","Not familiar with the scientific background of the US","Since everyone takes his/her own courses, there is seldom classmates who have a strong link to me","Reducing the requirement of culture and historic GE courses"
"2019/07/09 9:31:49 PM MDT","Female","risk management","fine art","Asian","Here for summer school","Yes","No","","No","Yes","High School or Less","Four year college","math is definately the nughtmare for a risk management student.","I am not the talkative type, and only dealing with numbers makes me even worse at comunnicating ","people have circles that you cannot fill in if you come in the middle","I don't know, maybe more gatherings?"
"2019/07/09 9:39:35 PM MDT","Female","Mathematics of Computation","","Asian","Senior","No","No","2.94","Yes","No","Graduate or professional degree","Graduate or professional degree","CS 33 and CS 35L were completely time-consuming courses that I took, and I received D-'s in both of them as a result of experiencing anxiety over starting projects.","I was experiencing a lot of depressive symptoms (such as gaining weight, not being able to get out of bed until really late, oversleeping, lack of interest in things I used to enjoy) during my second year in college due in part to the death of a friend and an overwhelming living situation. This made my time extra difficult, and I failed a class for the first time in my fall quarter of that year.","I felt a sense of belonging on this campus as a STEM major when I helped start the club Diversity and Inclusion in Product and Data, which aims to create a better space for minorities to grow in those particular fields. I felt a lack of belonging when I realized I was one of few females in my computer science classes.","Please please please don't create classes like Computer Science 33 and Computer Science 35L. These classes simply aren't realistic expectations of students and don't teach students anything- every single person I've ever spoken to has admitted to using Github during their time in those classes, and for that reason, it simply doesn't seem WORTH it. Not only are students not fully learning, but they're losing sleep, morale, and confidence over them."
"2019/07/09 9:56:33 PM MDT","Female","statistics","none","Asian","Junior","Yes","Yes","3.6","No","No","High School or Less","Four year college","abstract concept","facing difficulties are very challenging","emails from department","provide more job opportunities"
"2019/07/09 10:07:49 PM MDT","Male","B.S. Statistics and Economics","","Asian","Here for summer school","Yes","No","","No","No","Graduate or professional degree","Graduate or professional degree","I came to UCLA as a Mathematics-Economics Major. My background in math was extensive; however, until college I was taught math in a conceptual, problem-solving way. The math courses that I took in UCLA focused more on proofs of theorems and understanding how they are derived. This change made math classes harder for me. ","Being put in a highly competitive environment and not performing to my expectations made me question my place in the STEM major. ","I hail from a small town in India with a very small population. Upon coming to UCLA and suddenly finding myself in the midst of 40,000 undergraduates, I felt a sense of disconnect from other students. It felt like being a small fish in a big pond and thus, I felt aloof from all the other students. Furthermore, STEM classes were always filled with a large number of students and it was harder to form meaningul relationships with students in classes.","Potential suggestions include:
1. Create a less competitive environment by promoting more collabaration within a large class through group projects.
2. More opportunities for extra credit and decrease pressure from a fast paced quarter system."
"2019/07/09 10:09:35 PM MDT","Female","Cognitive Science","Anthropology, Philosophy","Caucasian;North African","Junior","No","No","3.27","Yes","No","Four year college","High School or Less","Curving against the best interest of a student.","There will continue to be emotional challenges and mental health crises so long as students are pressured to outperform one another in competitive courses.","The deepest learning I have experienced in college has not taken place in the classroom. Student organizations provide opportunities for growth that are not possible within a lecture hall.","I suggest implementing some type of peer network that is recognized within the syllabi of each STEM course."
"2019/07/09 11:28:00 PM MDT","Male","Mathematics of Computation","Mathematics of Computation","Asian","Sophmore","Yes","No","3.5","No","No","Four year college","Four year college","","","","Sometimes it is difficult to enroll in important courses, and therefore a four-year courses plan of STEM majors may need to change many times."
"2019/07/09 11:31:03 PM MDT","Female","undeclared","none","Caucasian","Junior","No","No","3.3","Yes","No","Four year college","Graduate or professional degree","There are very few professors who are interested in teaching. 
Discussion sections are often taught like lectures, and office hours are often very busy which makes it difficult to get questions answered in a comfortable setting in many classes. ","People are not very friendly in my math classes (applied math is my intended major), and they are very competitive which is a destructive learning environment. ","This campus has a very impersonal feel due to its size. There are many facilities available and many opportunities to take advantage of, however there is little student support which leads to a detached feeling from the campus. ","Smaller class sizes, more friendly professors who would actually like to be teaching (thank you Professor Esfandiari, as I feel you care about student learning and that is motivating). A more interactive learning environment that uses recommended video lectures and tutorials (like khan academy), as opposed to textbooks. Visual learning is much more helpful than textbooks for many students. 
"
"2019/07/09 11:44:46 PM MDT","Male","Applied Math","Statistic","Asian","Senior","Yes","Yes","2.5","No","No","Four year college","Four year college","The professor is not clear on teaching students","broke up with my girlfriend","The Bruin bear ","If the professor can teach us more systematically during the class, more student will do better."
"2019/07/09 11:48:07 PM MDT","Male","Applied Math","Statistic","Asian","Senior","Yes","Yes","3.0","No","Yes","High School or Less","High School or Less","The material itself is really hard","Most people in here want to be your friends just they want get the answers of the homework","Powell","Probably less exam"
"2019/07/09 11:48:33 PM MDT","Female","Statistics","NA","Latino/Hispanic","Junior","Yes","No","2.9","No","No","Four year college","Graduate or professional degree","The general assumptions of professors that the student knows a specific subject","Emotional: it creates a lot of stress on the students because the time you invest on working is way more than other majors and sometimes, you don't really have help from anyone except your book. For international students, things that are happening back home (country level wise) creates an extra weight on them that local students do not really have to deal with","Nothing specific jumps to mind","Give a list of subjects and important points the students should know before starting a class. This will give the opportunity for all the students to have a good base and to be able to understand everything the professor says"
"2019/07/09 11:54:50 PM MDT","Female","Statistics","","Asian","Senior","No","No","2.9","No","Yes","High School or Less","High School or Less","For a STEM major, we have to actually understand the concept of for example, a formula, to be able to apply it to different problems. It is the most challenging part as a STEM major. Sometimes, I feel like I understand the concept but I can not do the problems. ","When I was in my Freshmen year, my mother passed away. I was not able to focus on school work because of my emotional hardship. It was a difficult time because not only that I had family problem, but also a cultural problem. It was hard to adapt to such a bigger environment. We have bigger classes here so I have to get used to study independently. ","I love how UCLA has a big variety of language classes and cultural clubs. I was able to find the people that I can get along with easier. ","I hope that professors will have a more organized notes so we can follow easier. "
